setting,seed,role,step,epoch,timestamp,valid__accuracy,valid__attn__gd_residual_inject_ratio,valid__attn__gd_residual_lambda_mean,valid__attn__gd_residual_m_norm_max,valid__attn__gd_residual_m_norm_mean,valid__attn__gd_residual_mu_valid_ratio,valid__attn__gd_residual_write_strength_mean,valid__loss,valid__mqar_case__accuracy_1024x256,valid__attn__gd_residual_uncapped_write_strength_max,valid__attn__gd_residual_uncapped_write_strength_mean,valid__attn__gd_residual_uncapped_write_strength_p95,valid__attn__gd_residual_write_strength_cap_hit_ratio,valid__attn__gd_residual_write_strength_max,valid__attn__gd_residual_write_strength_p95,valid__attn__gd_residual_update_norm_cap_active,valid__attn__gd_residual_update_norm_effective_cap,valid__attn__gd_residual_m_norm_cap_hit_ratio
default,123,baseline_good,352,1.0,2026-05-20T18:35:20.164771+00:00,0.2593291015625,0.18467671835115032,0.026347236663457892,1.4982096299765602,0.02134645422218397,0.6576697031656901,0.014666295429277752,6.872300624847412,0.00096875,,,,,,,,,
default,123,baseline_good,705,2.0,2026-05-20T19:07:46.205908+00:00,0.9854873046875,0.33599869303760077,0.10381916803973061,1.8558194932956544,0.05107855358870611,0.6231523544069321,0.01870568502058704,0.2196841984987259,0.9327109375,,,,,,,,,
default,123,baseline_good,1058,3.0,2026-05-20T19:39:35.962878+00:00,0.9894072265625,0.22439300354629282,0.09318592344662027,2.0610625916530214,0.03584301077006828,0.6141592964293465,0.017256449806385687,0.13969075679779053,0.945953125,,,,,,,,,
default,123,baseline_good,1411,4.0,2026-05-20T20:12:49.644725+00:00,0.98976513671875,0.1995925691037897,0.09471220830603251,2.663204501309092,0.04008034492347626,0.6063298724946522,0.019128807402762866,0.1157425045967102,0.94865234375,,,,,,,,,
default,123,baseline_good,1764,5.0,2026-05-20T20:45:07.439574+00:00,0.9914013671875,0.17589828298087157,0.09165424365727674,2.6977073086632624,0.04012639310935305,0.5991167946467324,0.019973482663137098,0.09985283017158508,0.954375,,,,,,,,,
default,123,baseline_good,2117,6.0,2026-05-20T21:16:50.606940+00:00,0.99171875,0.16158134363118618,0.09442125651098433,2.8525156265213374,0.041310379019243615,0.5960262238033234,0.02139936498410645,0.09140634536743164,0.9549609375,,,,,,,,,
default,123,baseline_good,2470,7.0,2026-05-20T21:48:56.848340+00:00,0.99338037109375,0.1563357768195962,0.09407562298315858,2.8380382129597286,0.04101123141923121,0.5942918383885943,0.021196757136504093,0.07750517129898071,0.96448828125,,,,,,,,,
default,123,baseline_good,2823,8.0,2026-05-20T22:21:28.331528+00:00,0.99387890625,0.15058618961345582,0.09365616552531719,2.932285725360825,0.0420431746206882,0.5926793416341146,0.02114768415719034,0.07076781243085861,0.9687109375,,,,,,,,,
default,124,baseline_bad,352,1.0,2026-05-28T02:31:02.000282+00:00,0.01571142578125,0.12012686513896499,0.012877521230765278,4.2542520870292,0.027511947719927227,0.5789443727523561,0.12208039995046362,7.91464900970459,0.00054296875,,,,,,,,,
default,124,baseline_bad,705,2.0,2026-05-28T03:08:11.572624+00:00,0.881158203125,0.41529329115199665,0.07668848668358155,2.309853767828336,0.10972395942117723,0.5836977882990761,0.0504337921960368,0.9307222962379456,0.3872734375,,,,,,,,,
default,124,baseline_bad,1058,3.0,2026-05-28T03:49:13.869108+00:00,0.9311953125,0.2409659604881964,0.06413151354839404,2.5135114687302758,0.14420802421897413,0.5274378761412606,0.05297453749540543,0.536687433719635,0.58378125,,,,,,,,,
default,124,baseline_bad,1411,4.0,2026-05-28T04:29:28.414042+00:00,0.95584326171875,0.21415647335113988,0.07263981379450314,3.2998281189846614,0.19559436812553377,0.4911008562360491,0.06445201941662365,0.3527074456214905,0.72337890625,,,,,,,,,
default,124,baseline_bad,1764,5.0,2026-05-28T05:11:17.252136+00:00,0.9647373046875,0.18317884925220693,0.07389595381738175,3.662630213631524,0.21673962439868658,0.4773810250418527,0.06522972600179769,0.28791749477386475,0.773375,,,,,,,,,
default,124,baseline_bad,2117,6.0,2026-05-28T05:51:34.305224+00:00,0.96531884765625,0.1708422080569324,0.08082074086580958,4.1047115259700355,0.24625956956001502,0.4710073016938709,0.06978976387264473,0.2795616388320923,0.77098046875,,,,,,,,,
default,124,baseline_bad,2470,7.0,2026-05-28T06:32:23.052482+00:00,0.9698681640625,0.16575102206496967,0.0819267611211491,4.1950705136571615,0.25393304715139997,0.4656916724310981,0.0704411296913075,0.24478445947170258,0.8006015625,,,,,,,,,
default,124,baseline_bad,2823,8.0,2026-05-28T07:12:11.147356+00:00,0.9721396484375,0.16497001090338306,0.08471437426845706,4.370583799623308,0.2642327423931824,0.45822679428827195,0.07212395488565403,0.22389547526836395,0.819796875,,,,,,,,,
default,125,baseline_good,352,1.0,2026-05-28T02:51:53.884299+00:00,0.38387060546875,0.2523157937481763,0.0824928537661594,3.0779584717182886,0.0318432448169453,0.6432320428273034,0.01954736900959341,6.139110088348389,0.00516015625,,,,,,,,,
default,125,baseline_good,705,2.0,2026-05-28T03:24:34.320318+00:00,0.99172998046875,0.1545427916423669,0.15043438539382012,5.445921719074249,0.06959821366971093,0.6371927715483165,0.012766504906014435,0.15742924809455872,0.96412109375,,,,,,,,,
default,125,baseline_good,1058,3.0,2026-05-28T03:53:13.508772+00:00,0.99319775390625,0.16112559779532373,0.16030698636221508,4.694249947392751,0.033233163353528765,0.6321805923704117,0.005655266797273523,0.10442770272493362,0.97002734375,,,,,,,,,
default,125,baseline_good,1411,4.0,2026-05-28T04:25:34.584951+00:00,0.9944609375,0.24286499921055066,0.19290785911300826,3.724687750377352,0.028870073821587815,0.6283332279750279,0.0049408218589618745,0.07985176891088486,0.9757109375,,,,,,,,,
default,125,baseline_good,1764,5.0,2026-05-28T04:58:40.537756+00:00,0.99608935546875,0.2568279298998061,0.2024930544670612,2.1805987963600764,0.019731425933377254,0.6246531047518291,0.0033795020117106597,0.06098935380578041,0.98305078125,,,,,,,,,
default,125,baseline_good,2117,6.0,2026-05-28T05:28:23.941370+00:00,0.9960400390625,0.2505985264858556,0.19203533861963523,1.0718106513931638,0.015441677459175624,0.6244083586193266,0.0022218719559965565,0.05762793496251106,0.9823359375,,,,,,,,,
