bytes,path,relative_path,sha256
30419,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/baseline/2080ti/preflight.json,baseline/2080ti/preflight.json,3a8ec0a820bcf7b6166c49a03343e472cbb2ebd52a1cd7a6242f59e5ef6d6643
220223,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/baseline/2080ti/probe.json,baseline/2080ti/probe.json,3f592d89a59a8fb2095a06e97d9eb13124a0d3734572bd686c3a10babad4e08b
30404,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/baseline/3090/preflight.json,baseline/3090/preflight.json,f021705dcfdca48fc49816bbb89477337ad40952b7357ec332fc81e325a50f01
219699,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/baseline/3090/probe.json,baseline/3090/probe.json,bd5ca224f4dc16ddb81857d9ff65564169c3291436de5c3ecf5b760c3e333682
30542,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/constant-logf-f0.95/2080ti/preflight.json,constant-logf-f0.95/2080ti/preflight.json,e70be6a0f9f231783ef4dba35879d97016270247cc31914a88a12796ce078766
212306,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/constant-logf-f0.95/2080ti/probe.json,constant-logf-f0.95/2080ti/probe.json,d2708df5a3514529031b490e903815d9e06d10009eef6d1a3c29817eb923e440
30527,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/constant-logf-f0.95/3090/preflight.json,constant-logf-f0.95/3090/preflight.json,020154249e3401b226b29769f728013284f11297d95f30c6116ecf84f186bb27
211851,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/constant-logf-f0.95/3090/probe.json,constant-logf-f0.95/3090/probe.json,979902e0eecd878c6097c4d258fd4f01aef36da85a9d64b4bf6a98e18a4b84ef
30460,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/dense-read/2080ti/preflight.json,dense-read/2080ti/preflight.json,22196210bdf88eb56718bae4849d8c712458e4be055af12ac42dcc1c88133135
220548,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/dense-read/2080ti/probe.json,dense-read/2080ti/probe.json,cdb38996bfde6a7375b99e8f6bf194f5efdb2ba6545654456b217701c4ba8ab0
30445,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/dense-read/3090/preflight.json,dense-read/3090/preflight.json,9b7655fc67301799ea16192e26719a8f9621255d547ecc8d67d5d84e242bfcaa
220047,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/dense-read/3090/probe.json,dense-read/3090/probe.json,3d7bc3ac5b71088991db9dfc8069be3a388c89716665b09d8aa9879ccfb924f1
30545,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/residual-off/2080ti/preflight.json,residual-off/2080ti/preflight.json,04b3a407fe8efb09ec833e45f175b43e7358fee9974bfa612c6c3fc390037a7c
220094,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/residual-off/2080ti/probe.json,residual-off/2080ti/probe.json,0a2c53800654d29860f3573eb9aa0130a3901a089d66f89ba1ca15bb4a68572b
30530,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/residual-off/3090/preflight.json,residual-off/3090/preflight.json,8e3b4cd9a6b2d178cc000a841cc33de8dc9ba38447d446877486ff91441b77f5
219604,zoology/experiments/flash_vqg/scripts/20260629-02-flash-vqg-gate-topk-mstate-causal-probe/outputs/residual-off/3090/probe.json,residual-off/3090/probe.json,d98951e4baaba355e2984416cfb3bdc1206cd8f6d6649088a7ee0c1d72508607
