variant,description,completed_machines,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,passes_screen,read_topk,read_topk_initial,read_topk_final,trace_read_steps,trace_inline_steps,read_confidence_gate_mode,read_softmargin_mode,write_strength_mode
p0-fixed-r16-repro,P0 same-seed fixed read_topk=16 repro,"2080ti,3090",True,0.861,0.725,0.136,13.600000000000001,False,16,,,,,none,none,renorm_topk
fixed-r24,P1 fixed read_topk=24 r16-neighborhood screen,3090,False,,0.86,,,,24,,,,,none,none,renorm_topk
fixed-r32,P1 fixed read_topk=32 r16-neighborhood screen,3090,False,,0.667,,,,32,,,,,none,none,renorm_topk
sched32to16-linear512,P1 scheduled read_topk 32->16 over 512 optimizer steps,3090,False,,0.764,,,,,32,16,,,none,none,renorm_topk
sched16to8-linear512,P1 scheduled read_topk 16->8 over 512 optimizer steps,"2080ti,3090",True,0.863,0.503,0.36,36.0,False,,16,8,,,none,none,renorm_topk
trace-r2-readwrite-256,P2 read snapshot plus inline update trace for read_topk=2,"2080ti,3090",True,0.00025,0.00025,0.0,0.0,False,2,,,"0,16,64,128,256","0,16,64,128,256",none,none,renorm_topk
trace-r4-read-256,P2 read snapshot trace for read_topk=4,"2080ti,3090",True,0.00025,0.000254,3.999999999999989e-06,0.0003999999999999989,False,4,,,"0,16,64,128,256",,none,none,renorm_topk
trace-r16-readwrite-256,P2 read snapshot plus inline update trace for read_topk=16,"2080ti,3090",True,0.00025,0.000254,3.999999999999989e-06,0.0003999999999999989,False,16,,,"0,16,64,128,256","0,16,64,128,256",none,none,renorm_topk
trace-r64-read-256,P2 read snapshot trace for read_topk=64,"2080ti,3090",True,0.00025,0.000254,3.999999999999989e-06,0.0003999999999999989,False,64,,,"0,16,64,128,256",,none,none,renorm_topk
r16-injconf,P3 r16 with read-confidence-gated residual injection,"2080ti,3090",True,0.618,0.568,0.050000000000000044,5.000000000000004,False,16,,,,,margin_sigmoid,none,renorm_topk
r16-softread,P3 r16 with read softmargin inside selected topk,"2080ti,3090",True,0.0148,0.9,0.8852,88.52,False,16,,,,,none,topk_mass_temperature,renorm_topk
r16-softread-injconf,P3 r16 with read softmargin and read-confidence-gated injection,"2080ti,3090",True,0.8,0.402,0.398,39.800000000000004,False,16,,,,,margin_sigmoid,topk_mass_temperature,renorm_topk
r2-injconf,P3 r2 rescue with read-confidence-gated residual injection,"2080ti,3090",True,0.42,0.897,0.47700000000000004,47.7,False,2,,,,,margin_sigmoid,none,renorm_topk
r16-write-mass,P3 r16 with existing topk_mass_scaled write strength,"2080ti,3090",True,0.505,0.623,0.118,11.799999999999999,False,16,,,,,none,none,topk_mass_scaled
r16-write-mass-injconf,P3 r16 with topk_mass_scaled write strength and injection confidence,"2080ti,3090",True,0.376,0.643,0.267,26.700000000000003,False,16,,,,,margin_sigmoid,none,topk_mass_scaled
