config,run_id,requested_run_id,model_family,source,comparison_scope,run_type,gpu,status,source_status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,actual_kernel_dtype,dtype_comparison_scope,fallback_from_profiles,failure_reason,log_path,gpu_memory_sample_path,manifest_path,source_analysis_dir,seed,data_seed,num_heads,expand_v,use_gate,use_short_conv,conv_size,gdn_kernel_dtype_policy,dynamic_capacity_per_layer,dynamic_capacity_total,dynamic_state_capacity,trainable_params,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_mqar_case_accuracy_512x64,valid_mqar_case_accuracy_256x64,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/dns2c6sathkcw7th949h2,/home/lyj/mnt/project/zoology/swanlog/run-20260520_073406-dns2c6sathkcw7th949h2,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev8-s126-2026-05-20-07-34-01,988.193035107106,00:16:28,False,3877,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev8-s126-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev8-s126-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev8-s126-2026-05-20-07-34-01/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev8-s126-2026-05-20-07-34-01/gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,126,123,2,8,False,True,4,float32,65536,131072,65536,1367942,0.2867046892642975,0.97841259765625,0.83156640625,0.996140625,0.99959375,1.0,0.9978671875,0.83156640625,0.996140625,0.83156640625
gdn-h2-ev8-usegate0-s127-d123,gdn-h2-ev8-s127-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s127-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/6dpkd6mk3toufxato6dej,/home/lyj/mnt/project/zoology/swanlog/run-20260520_073406-6dpkd6mk3toufxato6dej,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev8-s127-2026-05-20-07-34-01,474.6395438229665,00:07:55,False,3863,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev8-s127-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev8-s127-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev8-s127-2026-05-20-07-34-01/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev8-s127-2026-05-20-07-34-01/gdn-h2-ev8-s127-d123-b64-ga4-fp32-noearly4ep,127,123,2,8,False,True,4,float32,65536,131072,65536,1367942,0.30102211236953735,0.97508056640625,0.80641796875,0.9962578125,0.99959375,1.0,0.99792578125,0.80641796875,0.9962578125,0.80641796875
gdn-h2-ev16-usegate0-s124-d123,gdn-h2-ev16-s124-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev16-s124-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/m5ebwl0sg9ohdvsgxjswf,/home/lyj/mnt/project/zoology/swanlog/run-20260520_075034-m5ebwl0sg9ohdvsgxjswf,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev16-s124-2026-05-20-07-50-29,1337.2758510503918,00:22:17,False,3873,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev16-s124-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev16-s124-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev16-s124-2026-05-20-07-50-29/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev16-s124-2026-05-20-07-50-29/gdn-h2-ev16-s124-d123-b64-ga4-fp32-noearly4ep,124,123,2,16,False,True,4,float32,131072,262144,131072,1634694,0.2798021733760834,0.98009228515625,0.84472265625,0.996421875,0.99959375,1.0,0.9980078125,0.84472265625,0.996421875,0.84472265625
gdn-h2-ev16-usegate0-s125-d123,gdn-h2-ev16-s125-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev16-s125-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/e00mmh2mp61te8vs2j6q1,/home/lyj/mnt/project/zoology/swanlog/run-20260520_074200-e00mmh2mp61te8vs2j6q1,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev16-s125-2026-05-20-07-41-56,624.8482974097133,00:10:25,False,3859,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev16-s125-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev16-s125-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev16-s125-2026-05-20-07-41-56/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev16-s125-2026-05-20-07-41-56/gdn-h2-ev16-s125-d123-b64-ga4-fp32-noearly4ep,125,123,2,16,False,True,4,float32,131072,262144,131072,1634694,0.27388736605644226,0.980462890625,0.8467578125,0.9971484375,0.999796875,1.0,0.99847265625,0.8467578125,0.9971484375,0.8467578125
gdn-h1-ev8-usegate0-s123-d123,gdn-h1-ev8-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h1-ev8-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/9a277u1zkfdjhbdde0oxz,/home/lyj/mnt/project/zoology/swanlog/run-20260520_081251-9a277u1zkfdjhbdde0oxz,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s123-2026-05-20-08-12-47,1435.8610879406333,00:23:56,False,4071,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h1-ev8-s123-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h1-ev8-s123-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s123-2026-05-20-08-12-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s123-2026-05-20-08-12-47/gdn-h1-ev8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,1,8,False,True,4,float32,131072,262144,131072,1368195,0.29387450218200684,0.9736181640625,0.802078125,0.9952265625,0.999234375,0.99990625,0.99723046875,0.802078125,0.9952265625,0.802078125
gdn-h1-ev8-usegate0-s124-d123,gdn-h1-ev8-s124-d123-b64-ga4-fp32-noearly4ep,gdn-h1-ev8-s124-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/u8mgfdnjtzvx9hatm5nm6,/home/lyj/mnt/project/zoology/swanlog/run-20260520_075225-u8mgfdnjtzvx9hatm5nm6,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s124-2026-05-20-07-52-21,933.8096387432888,00:15:34,False,4057,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h1-ev8-s124-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h1-ev8-s124-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s124-2026-05-20-07-52-21/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s124-2026-05-20-07-52-21/gdn-h1-ev8-s124-d123-b64-ga4-fp32-noearly4ep,124,123,1,8,False,True,4,float32,131072,262144,131072,1368195,0.2680322527885437,0.9810244140625,0.8541953125,0.9979375,0.9990625,1.0,0.9985,0.8541953125,0.9979375,0.8541953125
gdn-h1-ev8-usegate0-s125-d123,gdn-h1-ev8-s125-d123-b64-ga4-fp32-noearly4ep,gdn-h1-ev8-s125-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/50x32ann1uh8jk4stkpn1,/home/lyj/mnt/project/zoology/swanlog/run-20260520_083647-50x32ann1uh8jk4stkpn1,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s125-2026-05-20-08-36-43,1181.873774284497,00:19:42,False,4071,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h1-ev8-s125-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h1-ev8-s125-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s125-2026-05-20-08-36-43/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h1-ev8-s125-2026-05-20-08-36-43/gdn-h1-ev8-s125-d123-b64-ga4-fp32-noearly4ep,125,123,1,8,False,True,4,float32,131072,262144,131072,1368195,0.3055872321128845,0.97058837890625,0.78047265625,0.99271875,0.999125,0.999921875,0.995921875,0.78047265625,0.99271875,0.78047265625
gdn-h2-ev6-usegate0-s123-d123,gdn-h2-ev6-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev6-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/cbh4rrjc77o1du50sivjb,/home/lyj/mnt/project/zoology/swanlog/run-20260520_080759-cbh4rrjc77o1du50sivjb,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev6-s123-2026-05-20-08-07-54,787.8128011254594,00:13:08,False,3513,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev6-s123-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev6-s123-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev6-s123-2026-05-20-08-07-54/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev6-s123-2026-05-20-08-07-54/gdn-h2-ev6-s123-d123-b64-ga4-fp32-noearly4ep,123,123,2,6,False,True,4,float32,49152,98304,49152,1301254,0.29622840881347656,0.975708984375,0.8113671875,0.9947890625,0.99959375,0.999921875,0.99719140625,0.8113671875,0.9947890625,0.8113671875
gdn-h2-ev10-usegate0-s123-d123,gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/xyj2si9wir6px0w0osfxb,/home/lyj/mnt/project/zoology/swanlog/run-20260520_083629-xyj2si9wir6px0w0osfxb,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24,722.4949640650302,00:12:02,False,3599,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev10-s123-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev10-s123-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev10-s123-2026-05-20-08-36-24/gdn-h2-ev10-s123-d123-b64-ga4-fp32-noearly4ep,123,123,2,10,False,True,4,float32,81920,163840,81920,1434630,0.27598169445991516,0.981970703125,0.858921875,0.998203125,0.999140625,1.0,0.998671875,0.858921875,0.998203125,0.858921875
gdn-h2-ev12-usegate0-s123-d123,gdn-h2-ev12-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev12-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,official_gdn_capacity_layout_followup_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_layout_followup/runs/5a2pnjmcnezkae2v22w0x,/home/lyj/mnt/project/zoology/swanlog/run-20260520_082107-5a2pnjmcnezkae2v22w0x,flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev12-s123-2026-05-20-08-21-02,761.872525608167,00:12:42,False,3857,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev12-s123-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260520-gdn-capacity-layout-followup-logs/gdn-h2-ev12-s123-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev12-s123-2026-05-20-08-21-02/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-gdn-capacity-layout-followup-gdn-h2-ev12-s123-2026-05-20-08-21-02/gdn-h2-ev12-s123-d123-b64-ga4-fp32-noearly4ep,123,123,2,12,False,True,4,float32,98304,196608,98304,1501318,0.2915617525577545,0.98017529296875,0.84481640625,0.9975859375,0.999375,1.0,0.99848046875,0.84481640625,0.9975859375,0.84481640625
