config_family,comparison,metric,values,worst,spread,interpretation
cb64-r16,readk2_main_cross_seed,valid/mqar_case/accuracy-1024x256,s124-r1b=0.959;s125-r1=0.915,0.915,0.044,default readk2 has moderate seed spread
cb64-r16,readk4_main_cross_seed,valid/mqar_case/accuracy-1024x256,s124-r1=0.831;s125-r1=0.965,0.831,0.134,readk4 improves s125 but hurts s124 high path
cb64-r16,readk4_s124_rerun,valid/mqar_case/accuracy-1024x256,s124-r1=0.831;s124-r2=0.849,0.831,0.018,readk4 s124 side effect is reproducible
cb128-r8,readk2_main_cross_seed,valid/mqar_case/accuracy-1024x256,s124-r1=0.956;s125-r1=0.956,0.956,0,default readk2 is stable in this pair
cb128-r8,readk4_main_cross_seed,valid/mqar_case/accuracy-1024x256,s124-r1=0.973;s125-r1=0.972,0.972,0.001,main readk4 pair initially looks positive
cb128-r8,readk4_s125_rerun,valid/mqar_case/accuracy-1024x256,s125-r1=0.972;s125-r2=0.609,0.609,0.363,readk4 s125 rerun is not reproducible
cb128-r8,readk4_all_completed,valid/mqar_case/accuracy-1024x256,s124-r1=0.973;s125-r1=0.972;s125-r2=0.609,0.609,0.364,readk4 is unstable under rerun
cb256-r8,readk2_main_cross_seed,valid/mqar_case/accuracy-1024x256,s124-r1=0.988;s125-r1=0.804,0.804,0.184,default readk2 has large seed split
cb256-r8,readk4_main_cross_seed,valid/mqar_case/accuracy-1024x256,s124-r1=0.982;s125-r1=0.988,0.982,0.006,readk4 rescues weak seed in main pair
cb256-r8,readk4_s124_rerun,valid/mqar_case/accuracy-1024x256,s124-r1=0.982;s124-r2=0.982,0.982,0,readk4 s124 high path reproduced
cb256-r8,readk4_s125_rerun,valid/mqar_case/accuracy-1024x256,s125-r1=0.988;s125-r2=0.992,0.988,0.004,readk4 s125 high path reproduced
cb256-r8,readk4_all_completed,valid/mqar_case/accuracy-1024x256,s124-r1=0.982;s124-r2=0.982;s125-r1=0.988;s125-r2=0.992,0.982,0.01,readk4 is stable for cb256-r8
