group,item,artifact_path,original_path,keep_reason
eval,ek16 summary,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/longer-mqar-ek16-ev1-retry-ieee-20260528T020346Z/longer-mqar-summary.csv,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/longer-mqar-ek16-ev1-retry-ieee-20260528T020346Z/longer-mqar-summary.csv,final slice metrics
eval,ek16 detail,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/longer-mqar-ek16-ev1-retry-ieee-20260528T020346Z/longer-mqar-detail.csv,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/longer-mqar-ek16-ev1-retry-ieee-20260528T020346Z/longer-mqar-detail.csv,per-event eval detail
eval,ek16 status and manifests,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/longer-mqar-ek16-ev1-retry-ieee-20260528T020346Z,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/longer-mqar-ek16-ev1-retry-ieee-20260528T020346Z,completion and preflight evidence
eval,ek8 summary,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/longer-mqar-ek8-ev2-20260528T072627Z/longer-mqar-summary.csv,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/longer-mqar-ek8-ev2-20260528T072627Z/longer-mqar-summary.csv,final slice metrics
eval,ek8 detail,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/longer-mqar-ek8-ev2-20260528T072627Z/longer-mqar-detail.csv,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/longer-mqar-ek8-ev2-20260528T072627Z/longer-mqar-detail.csv,per-event eval detail
eval,ek8 status and manifests,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/longer-mqar-ek8-ev2-20260528T072627Z,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/longer-mqar-ek8-ev2-20260528T072627Z,completion evidence
training,ek16 command and log,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/training-probe-ek16-ev1-retry-ieee-20260528T020346Z,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/training-probe-ek16-ev1-retry-ieee-20260528T020346Z,training command and full log
training,ek8 command and log,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/training-probe-ek8-ev2-20260528T070753Z,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/training-probe-ek8-ev2-20260528T070753Z,training command and full log
correctness,fp32 strict diagnosis,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/fp32-numerical-diagnosis-20260527T211820Z.csv,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/fp32-numerical-diagnosis-20260527T211820Z.csv,numerical risk evidence
correctness,fp32 official tolerance diagnosis,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/artifacts/fla-kblocked-kernel/fp32-numerical-diagnosis-officialtol-20260527T212140Z.csv,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/artifacts/fla-kblocked-kernel/fp32-numerical-diagnosis-officialtol-20260527T212140Z.csv,FLA-style tolerance evidence
config,ek16 generated launch config,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek16-ev1-retry-ieee-20260528T020346Z-2026-05-28-02-06-08,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek16-ev1-retry-ieee-20260528T020346Z-2026-05-28-02-06-08,generated config and manifest
config,ek8 generated launch config,docs/artifacts/20260528-fla-kblocked-gdn-kernel/raw-3090/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek8-ev2-20260528T070753Z-2026-05-28-07-07-55,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek8-ev2-20260528T070753Z-2026-05-28-07-07-55,generated config and manifest
